u0023_20e3	keycap: #
u002a_20e3	keycap: *
u0030_20e3	keycap: 0
u0031_20e3	keycap: 1
u0032_20e3	keycap: 2
u0033_20e3	keycap: 3
u0034_20e3	keycap: 4
u0035_20e3	keycap: 5
u0036_20e3	keycap: 6
u0037_20e3	keycap: 7
u0038_20e3	keycap: 8
u0039_20e3	keycap: 9
u00a9	copyright
u00ae	registered
u1f004	mahjong red dragon
u1f0cf	joker
u1f170	A button (blood type)
u1f171	B button (blood type)
u1f17e	O button (blood type)
u1f17f	P button
u1f18e	AB button (blood type)
u1f191	CL button
u1f192	COOL button
u1f193	FREE button
u1f194	ID button
u1f195	NEW button
u1f196	NG button
u1f197	OK button
u1f198	SOS button
u1f199	UP! button
u1f19a	VS button
u1f1e6_1f1e8	flag: Ascension Island
u1f1e6_1f1e9	flag: Andorra
u1f1e6_1f1ea	flag: United Arab Emirates
u1f1e6_1f1eb	flag: Afghanistan
u1f1e6_1f1ec	flag: Antigua & Barbuda
u1f1e6_1f1ee	flag: Anguilla
u1f1e6_1f1f1	flag: Albania
u1f1e6_1f1f2	flag: Armenia
u1f1e6_1f1f4	flag: Angola
u1f1e6_1f1f6	flag: Antarctica
u1f1e6_1f1f7	flag: Argentina
u1f1e6_1f1f8	flag: American Samoa
u1f1e6_1f1f9	flag: Austria
u1f1e6_1f1fa	flag: Australia
u1f1e6_1f1fc	flag: Aruba
u1f1e6_1f1fd	flag: Åland Islands
u1f1e6_1f1ff	flag: Azerbaijan
u1f1e7_1f1e6	flag: Bosnia & Herzegovina
u1f1e7_1f1e7	flag: Barbados
u1f1e7_1f1e9	flag: Bangladesh
u1f1e7_1f1ea	flag: Belgium
u1f1e7_1f1eb	flag: Burkina Faso
u1f1e7_1f1ec	flag: Bulgaria
u1f1e7_1f1ed	flag: Bahrain
u1f1e7_1f1ee	flag: Burundi
u1f1e7_1f1ef	flag: Benin
u1f1e7_1f1f1	flag: St. Barthélemy
u1f1e7_1f1f2	flag: Bermuda
u1f1e7_1f1f3	flag: Brunei
u1f1e7_1f1f4	flag: Bolivia
u1f1e7_1f1f6	flag: Caribbean Netherlands
u1f1e7_1f1f7	flag: Brazil
u1f1e7_1f1f8	flag: Bahamas
u1f1e7_1f1f9	flag: Bhutan
u1f1e7_1f1fb	flag: Bouvet Island
u1f1e7_1f1fc	flag: Botswana
u1f1e7_1f1fe	flag: Belarus
u1f1e7_1f1ff	flag: Belize
u1f1e8_1f1e6	flag: Canada
u1f1e8_1f1e8	flag: Cocos (Keeling) Islands
u1f1e8_1f1e9	flag: Congo - Kinshasa
u1f1e8_1f1eb	flag: Central African Republic
u1f1e8_1f1ec	flag: Congo - Brazzaville
u1f1e8_1f1ed	flag: Switzerland
u1f1e8_1f1ee	flag: Côte d’Ivoire
u1f1e8_1f1f0	flag: Cook Islands
u1f1e8_1f1f1	flag: Chile
u1f1e8_1f1f2	flag: Cameroon
u1f1e8_1f1f3	flag: China
u1f1e8_1f1f4	flag: Colombia
u1f1e8_1f1f5	flag: Clipperton Island
u1f1e8_1f1f7	flag: Costa Rica
u1f1e8_1f1fa	flag: Cuba
u1f1e8_1f1fb	flag: Cape Verde
u1f1e8_1f1fc	flag: Curaçao
u1f1e8_1f1fd	flag: Christmas Island
u1f1e8_1f1fe	flag: Cyprus
u1f1e8_1f1ff	flag: Czechia
u1f1e9_1f1ea	flag: Germany
u1f1e9_1f1ec	flag: Diego Garcia
u1f1e9_1f1ef	flag: Djibouti
u1f1e9_1f1f0	flag: Denmark
u1f1e9_1f1f2	flag: Dominica
u1f1e9_1f1f4	flag: Dominican Republic
u1f1e9_1f1ff	flag: Algeria
u1f1ea_1f1e6	flag: Ceuta & Melilla
u1f1ea_1f1e8	flag: Ecuador
u1f1ea_1f1ea	flag: Estonia
u1f1ea_1f1ec	flag: Egypt
u1f1ea_1f1ed	flag: Western Sahara
u1f1ea_1f1f7	flag: Eritrea
u1f1ea_1f1f8	flag: Spain
u1f1ea_1f1f9	flag: Ethiopia
u1f1ea_1f1fa	flag: European Union
u1f1eb_1f1ee	flag: Finland
u1f1eb_1f1ef	flag: Fiji
u1f1eb_1f1f0	flag: Falkland Islands
u1f1eb_1f1f2	flag: Micronesia
u1f1eb_1f1f4	flag: Faroe Islands
u1f1eb_1f1f7	flag: France
u1f1ec_1f1e6	flag: Gabon
u1f1ec_1f1e7	flag: United Kingdom
u1f1ec_1f1e9	flag: Grenada
u1f1ec_1f1ea	flag: Georgia
u1f1ec_1f1eb	flag: French Guiana
u1f1ec_1f1ec	flag: Guernsey
u1f1ec_1f1ed	flag: Ghana
u1f1ec_1f1ee	flag: Gibraltar
u1f1ec_1f1f1	flag: Greenland
u1f1ec_1f1f2	flag: Gambia
u1f1ec_1f1f3	flag: Guinea
u1f1ec_1f1f5	flag: Guadeloupe
u1f1ec_1f1f6	flag: Equatorial Guinea
